Time_Sec,CPU_Percent_Total,Memory_GB
1.0,221.55,0.3496
2.0,256.03,0.5598
3.01,228.72,0.715
4.01,317.13,0.9424
5.01,263.17,1.0056
6.01,327.58,1.0735
7.01,328.79,1.178
8.01,344.8,1.3225
9.01,316.36,1.4391
10.01,287.71,1.6041
11.02,353.63,1.8062
12.02,351.49,2.0431
13.02,332.31,2.1891
14.02,356.11,2.405
15.02,327.87,2.6333
16.02,313.96,2.8813
17.02,308.83,3.1445
18.03,303.94,3.3968
19.03,307.02,3.6925
20.03,302.56,4.0517
21.03,306.33,4.3729
22.03,305.65,4.7601
23.03,302.96,5.1758
24.03,301.03,5.5505
25.04,303.0,5.9139
26.04,219.63,1.7828
27.04,322.79,2.1016
28.04,358.5,2.2755
29.04,348.74,2.5897
30.04,322.9,2.8907
31.04,320.38,3.1933
32.05,310.58,3.5035
33.05,305.77,3.8066
34.05,305.84,4.1073
35.05,311.42,4.4358
36.05,306.55,4.7874
37.05,302.24,5.1756
38.05,303.33,5.531
39.06,304.35,5.8985
40.06,186.75,1.7761
41.06,314.05,1.9783
42.06,308.99,1.7858
43.06,325.6,2.0315
44.06,353.68,2.1516
45.06,346.52,2.3869
46.07,321.47,2.6394
47.07,316.16,2.9055
48.07,308.73,3.2267
49.07,316.7,3.4966
50.07,130.73,3.795
51.07,116.25,4.0195
52.07,107.21,4.1389
53.07,113.51,4.1814
54.08,106.34,4.2265
55.08,100.81,4.268
56.08,101.34,4.326
57.08,156.92,4.5499
58.08,115.96,4.8207
59.08,103.49,4.8707
60.09,101.37,4.8983
61.09,100.83,4.9288
62.09,102.12,4.9592
63.09,100.96,4.9884
64.09,100.93,5.0152
65.09,103.26,5.044
66.09,100.72,5.0678
67.09,102.48,5.0989
68.1,101.25,5.1201
69.1,101.04,5.131
70.1,103.05,5.1535
71.1,101.35,5.171
72.1,105.62,5.1942
73.1,104.26,5.2133
74.1,100.91,5.2361
75.11,100.49,5.2579
76.11,100.88,5.2755
77.11,100.6,5.2977
78.11,100.52,5.3237
79.11,100.92,5.3446
80.11,100.87,5.3618
81.12,101.77,5.3831
82.12,100.93,5.3998
83.12,101.32,5.4175
84.12,101.26,5.4358
85.12,100.83,5.4556
86.12,100.77,5.4741
87.12,101.27,5.4954
88.13,100.76,5.5178
89.13,101.21,5.5369
90.13,100.82,5.5513
91.13,100.87,5.5674
92.13,101.65,5.5867
93.13,101.08,5.6061
94.13,102.08,5.6244
95.14,100.94,5.6401
96.14,100.55,5.6541
97.14,100.78,5.6671
98.14,101.13,5.7013
99.14,100.78,5.7013
100.14,101.19,5.7013
101.15,100.87,5.7151
102.15,101.17,5.7278
103.15,101.39,5.7424
104.15,101.01,5.7579
105.15,100.62,5.7705
106.15,117.97,5.9943
107.15,114.21,6.3065
108.16,102.65,6.6091
109.16,126.84,6.7716
110.16,100.75,6.7716
111.16,103.95,6.7716
112.16,101.19,6.7716
113.16,100.95,6.7716
114.16,101.21,6.7716
115.17,100.8,6.7716
116.17,101.25,6.7716
117.17,100.98,6.7716
118.17,100.81,6.8181
119.17,101.28,6.8718
120.17,100.68,6.8718
121.17,100.71,6.8719
122.18,101.27,6.8719
123.18,101.17,6.8719
124.18,100.72,6.8719
125.18,100.74,6.8719
126.18,101.2,6.8719
127.18,100.79,6.8718
128.18,100.75,6.8718
129.18,101.3,6.8718
130.19,102.48,6.8718
131.19,100.79,6.8718
132.19,101.25,6.8718
133.19,100.92,6.8718
134.19,100.95,6.8718
135.19,100.52,6.8718
136.19,100.84,6.8718
137.2,101.22,6.8718
138.2,101.17,6.8718
139.2,100.95,6.8718
140.2,101.83,6.8718
141.2,100.8,6.8718
142.2,101.3,6.8718
143.2,100.91,6.8718
144.21,100.83,6.8718
145.21,101.28,6.8718
146.21,100.75,6.8718
147.21,100.9,6.8718
148.21,100.93,6.8718
149.21,100.54,6.8718
150.22,100.54,6.8718
151.22,101.08,6.8718
152.22,101.04,6.8718
153.22,101.33,6.8718
154.22,100.73,6.8718
155.22,100.87,6.8718
156.22,101.12,6.8718
157.23,100.82,6.8718
158.23,100.52,6.8718
159.23,101.15,6.8718
160.23,100.53,6.8718
161.23,100.89,6.8718
162.23,100.87,6.8718
163.23,101.14,6.8718
164.24,101.47,6.8718
165.24,100.6,6.8718
166.24,100.82,6.8718
167.24,101.34,6.8718
168.24,100.82,6.8718
