Time_Sec,CPU_Percent,Memory_GB
0.0,0.0,0.0019
1.0,219.3,0.3137
2.01,273.9,0.5088
3.01,286.8,0.7658
4.02,274.9,0.8677
5.02,332.9,0.9554
6.02,344.0,1.1146
7.03,313.8,1.2323
8.03,322.2,1.3221
9.03,47.9,1.5208
10.03,185.4,1.7271
11.04,314.1,1.8815
12.04,339.6,2.1124
13.05,350.1,2.3118
14.05,36.9,1.7194
15.06,345.2,2.0332
16.06,320.5,2.2479
17.06,354.8,2.4156
18.07,326.7,2.7209
19.07,333.3,2.9128
20.08,317.6,3.1131
21.08,313.3,3.3237
22.09,315.3,3.6233
23.09,318.8,3.9447
24.1,301.4,4.2722
25.1,308.4,4.5595
26.11,304.4,4.7755
27.11,308.6,4.9705
28.12,310.5,5.129
29.12,308.4,5.3738
30.13,287.5,5.735
31.13,171.1,6.1781
32.14,137.6,6.7024
33.14,217.9,6.8456
34.15,205.9,6.859
35.15,221.8,6.8593
36.16,256.6,6.8682
37.16,214.9,6.9163
38.17,134.3,6.9817
39.17,115.4,6.9565
40.18,133.3,6.9565
41.18,120.5,6.9574
42.19,183.2,6.9586
43.19,136.3,6.9589
44.2,102.5,6.959
45.2,128.3,6.959
46.21,120.4,6.959
47.21,151.2,7.2303
48.22,12.0,1.6968
49.22,331.3,1.8606
50.22,321.4,1.966
51.23,252.8,2.0845
52.23,7.0,1.7266
53.24,283.3,1.8783
54.24,8.0,1.6734
55.25,304.4,1.8521
56.25,341.0,1.9678
57.25,1399.3,1.6938
58.26,314.9,1.8707
59.26,345.7,1.5771
60.27,1457.5,1.8368
61.27,326.0,1.9386
62.27,11.0,1.708
63.27,310.1,1.8706
64.28,366.7,2.0258
65.28,19.9,1.7041
66.29,316.0,1.867
67.29,372.9,2.0057
68.29,1468.9,1.6968
69.3,341.9,1.983
70.3,317.5,2.3233
71.31,283.1,2.5433
72.31,356.0,2.7131
73.31,348.9,2.8905
74.31,322.0,3.0576
75.32,314.1,3.2563
76.32,291.1,3.4615
77.32,308.4,3.6552
78.33,310.3,3.8465
79.34,302.5,4.0342
80.34,288.3,4.2973
81.34,306.4,4.5194
82.35,306.4,4.8103
83.35,300.4,5.0399
84.36,305.4,5.3543
85.36,306.4,5.5867
86.37,306.4,5.8092
87.38,302.5,6.0428
88.38,302.4,6.2329
89.39,305.6,6.4243
90.39,305.5,6.5728
91.4,321.3,6.9368
92.4,266.6,6.9368
93.4,251.3,6.9322
94.41,205.1,7.0083
95.41,147.2,7.0324
96.42,133.4,7.0326
97.42,122.4,7.0326
98.43,140.3,7.0329
99.43,140.3,7.0329
100.44,117.4,7.0329
101.44,140.3,7.0329
102.45,113.4,7.033
103.46,125.3,7.033
104.46,114.4,7.033
105.47,109.5,7.033
106.47,113.4,7.033
107.48,115.4,7.033
108.48,106.4,7.033
109.49,119.4,7.033
110.49,127.3,7.033
111.5,102.5,7.033
112.5,179.4,7.4188
113.51,134.3,7.6014
114.51,106.4,7.6196
115.52,102.4,7.6196
116.52,103.5,7.6196
117.53,130.3,7.6196
118.53,126.4,7.6196
119.54,172.1,7.6196
120.54,248.6,7.62
121.55,228.8,7.6246
122.55,269.6,7.6547
123.56,218.8,7.6551
124.56,106.4,7.6551
125.57,186.0,7.8648
126.58,135.3,7.8648
127.58,102.5,7.8648
128.59,100.5,7.839
129.59,103.5,7.839
130.6,99.5,7.839
131.6,101.5,7.839
132.61,100.5,7.839
133.61,101.5,7.839
134.62,1446.0,1.6589
135.62,301.0,1.8547
136.63,313.6,2.1748
137.63,235.7,2.5174
138.63,298.9,2.6583
139.64,353.7,2.8754
140.64,318.3,3.0384
141.65,307.4,3.2368
142.65,310.3,3.4425
143.66,307.4,3.6332
144.67,304.4,3.8355
145.67,306.6,4.0258
146.68,288.4,4.3129
147.68,295.4,4.5436
148.69,301.4,4.8646
149.69,301.4,5.0894
150.7,302.4,5.4416
151.7,312.5,5.662
152.71,304.3,5.9186
153.71,303.4,6.1524
154.72,303.4,6.3635
155.72,300.4,6.5799
156.73,321.3,6.9864
157.73,307.4,6.9896
158.74,303.4,6.9911
159.74,309.3,7.0559
160.75,305.4,7.0922
161.76,186.0,7.0926
162.76,175.1,7.0926
163.77,143.3,7.0927
164.77,141.3,7.0929
165.78,135.3,7.0929
166.78,119.4,7.0929
167.79,120.5,7.0929
168.79,132.3,7.0929
169.8,115.4,7.0929
170.8,111.4,7.0931
171.81,114.4,7.0931
172.81,125.3,7.0931
173.82,106.4,7.0931
174.82,132.6,7.0931
175.83,119.4,7.0931
176.83,106.4,7.0931
177.84,202.9,7.584
178.84,101.7,7.632
179.84,103.7,7.632
180.85,102.5,7.632
181.85,123.3,7.632
182.86,130.3,7.632
183.86,161.1,7.632
184.87,220.6,7.6324
185.87,185.0,7.6324
186.88,267.6,7.6336
187.88,273.7,7.6479
188.89,136.3,7.6479
189.89,197.9,7.8599
190.9,101.3,7.8599
191.91,101.4,7.8599
192.91,100.5,7.8599
193.92,106.4,7.8599
194.92,100.5,7.8526
195.93,101.5,7.8526
196.93,120.4,7.8527
197.94,102.5,7.8527
198.94,103.4,7.8527
199.95,101.5,7.8527
200.95,201.9,7.8527
201.96,109.4,7.8527
202.97,101.5,7.8527
203.97,101.5,7.8527
204.98,99.5,7.8527
205.98,100.5,7.8527
206.99,102.4,7.8527
207.99,100.5,7.8527
209.0,102.5,7.8527
210.0,101.5,7.8527
211.01,112.4,7.8527
212.01,100.5,7.8527
213.02,103.5,7.8527
214.02,100.5,7.8527
215.03,99.5,7.8527
216.03,103.4,7.8527
217.04,99.5,7.8527
218.04,104.6,7.8527
219.05,99.7,7.8527
220.05,100.5,7.8527
221.06,102.5,7.8527
222.06,99.7,7.8527
223.07,100.5,7.8527
224.07,101.5,7.8527
225.08,101.5,7.8527
226.08,101.5,7.8527
227.09,100.5,7.8527
228.09,102.6,7.8527
229.1,99.5,7.8527
230.1,100.5,7.8527
231.11,101.5,7.8527
232.11,99.5,7.8527
233.12,101.5,7.8527
234.12,99.5,7.8527
235.13,102.5,7.8527
236.13,101.5,7.8527
237.14,247.2,7.9248
238.14,195.0,1.5818
239.15,1.0,1.773
240.15,324.3,2.0989
241.16,308.4,2.4501
242.16,314.1,2.5823
243.16,355.9,2.7858
244.17,331.3,2.9537
245.17,325.5,3.1494
246.18,318.4,3.3953
247.18,305.4,3.6003
248.19,309.4,3.8146
249.19,304.4,4.0183
250.2,268.6,4.2987
251.2,313.6,4.5637
252.21,309.4,4.8908
253.21,260.7,5.1535
254.22,310.3,5.4925
255.22,301.6,5.7419
256.23,303.4,6.0068
257.23,270.7,6.2403
258.24,221.8,6.4729
259.25,263.4,6.9203
260.25,202.9,6.9203
261.25,202.3,6.9205
262.26,190.3,7.025
263.26,129.5,7.0265
264.27,139.2,7.0206
265.27,131.3,7.0206
266.28,114.4,7.0208
267.28,120.4,7.0208
268.29,120.4,7.0211
269.29,125.3,7.0211
270.3,120.4,7.0211
271.3,119.4,7.0211
272.31,101.5,7.0211
273.31,107.5,7.0211
274.32,113.4,7.0211
275.33,100.5,7.0211
276.33,115.5,7.0211
277.34,129.3,7.0213
278.34,103.5,7.0213
279.35,204.9,7.5226
280.35,109.4,7.6056
281.36,101.5,7.6056
282.36,109.5,7.6056
283.37,123.3,7.6056
284.37,130.3,7.6056
285.38,106.5,7.6056
286.38,319.3,7.6082
287.39,217.8,7.6089
288.39,125.4,7.6089
289.4,121.4,7.6089
290.4,145.2,1.5827
291.41,3.0,1.8124
292.41,317.3,2.1452
293.42,308.3,2.5161
294.42,344.2,2.6108
295.42,351.2,2.7933
296.43,334.3,2.9519
297.43,314.6,3.1361
298.44,317.3,3.3794
299.45,307.4,3.5682
300.45,308.5,3.7714
301.46,303.3,3.9653
302.46,301.4,4.1924
303.47,306.4,4.4461
304.47,303.5,4.7376
305.48,302.4,5.0272
306.48,297.4,5.3163
307.49,311.6,5.5838
308.49,304.4,5.8211
309.5,303.4,6.0746
310.5,308.5,6.2788
311.5,309.1,6.5703
312.51,243.8,6.8345
313.52,189.0,6.8345
314.52,262.6,6.8345
315.53,166.2,6.9176
316.53,137.3,6.9293
317.54,145.2,6.9293
318.54,210.9,6.9295
319.55,141.2,6.9674
320.55,121.4,7.0296
321.56,153.2,7.0297
322.56,113.4,7.0297
323.57,117.4,7.0297
324.57,145.2,7.0297
325.58,111.4,7.0297
326.58,101.5,7.0297
327.59,111.4,7.0297
328.6,119.4,7.0297
329.6,118.4,7.0297
330.61,142.2,7.0297
331.61,102.5,7.0297
332.62,199.9,7.5547
333.62,108.4,7.6113
334.63,104.4,7.6113
335.63,106.4,7.6113
336.64,116.4,7.6113
337.64,121.4,7.6113
338.65,105.5,7.6113
339.65,267.1,7.6117
340.66,242.9,7.6117
341.66,116.4,7.6117
342.67,104.4,7.6117
343.67,115.5,7.6117
344.68,114.4,7.6117
345.68,124.3,7.6117
346.69,102.5,7.6117
347.69,101.5,7.6117
348.7,101.5,7.6117
349.7,101.5,7.6117
350.71,101.5,7.6117
351.72,100.5,7.6117
352.72,101.5,7.6117
353.73,102.5,7.6117
354.73,99.5,7.6117
355.74,102.5,7.6117
356.74,101.5,7.6117
357.75,102.5,7.6117
358.75,100.5,7.6117
359.76,120.4,7.6117
360.76,101.5,7.6117
361.77,100.5,7.6117
362.77,100.5,7.6117
363.78,102.5,7.6117
364.78,100.5,7.6117
365.79,102.5,7.6117
366.8,101.5,7.6117
367.8,101.5,7.6117
368.81,100.5,7.6117
369.81,101.5,7.6117
370.82,100.5,7.6117
371.82,101.5,7.6117
372.83,99.5,7.6117
373.83,102.5,7.6117
374.84,99.5,7.6117
375.84,102.5,7.6117
376.85,101.5,7.6117
377.85,100.7,7.6117
378.86,100.5,7.6117
379.86,99.5,7.6117
380.87,102.5,7.6117
381.87,101.5,7.6117
382.88,101.5,7.6117
383.88,101.6,7.6117
384.89,100.5,7.6117
385.89,100.5,7.6117
386.9,103.5,7.6117
387.9,101.5,7.6117
388.91,101.5,7.6117
389.91,99.5,7.6117
390.92,101.5,7.6117
391.92,101.5,7.6117
392.93,104.5,7.6118
393.94,101.5,7.6118
394.94,100.5,7.6118
395.95,102.5,7.6118
396.95,100.5,7.6118
397.96,101.5,7.6118
398.96,101.5,7.6118
399.97,99.5,7.6118
400.97,100.5,7.6118
401.98,101.5,7.6118
402.98,101.4,7.6118
403.99,101.5,7.6118
404.99,100.5,7.6118
406.0,101.5,7.6118
407.0,100.5,7.6118
408.01,102.5,7.6118
409.02,99.5,7.6118
410.02,101.5,7.6118
411.03,178.0,7.6118
412.03,113.4,7.6118
413.04,100.5,7.6118
414.04,101.5,7.6118
415.05,100.5,7.6118
416.05,99.5,7.6118
417.06,103.4,7.6118
418.06,102.4,7.6118
419.07,110.4,7.6118
420.07,100.5,7.6118
421.08,101.5,7.6118
422.09,101.5,7.6118
423.09,110.4,7.6118
424.1,101.5,7.6118
425.1,148.2,7.6118
426.11,143.3,7.6118
427.11,282.5,7.8348
428.12,102.5,7.835
429.12,100.5,7.835
430.13,103.5,7.835
431.13,100.5,7.8272
432.14,101.5,7.8275
433.14,117.4,7.8275
434.15,102.5,7.8275
435.15,99.5,7.8275
436.16,185.1,1.5843
437.16,3.0,1.7815
438.17,316.4,2.1389
439.17,307.3,2.5333
440.18,355.9,2.6757
441.18,348.5,2.8752
442.19,317.3,3.0739
443.19,301.4,3.3087
444.2,320.5,3.5481
445.2,309.6,3.7829
446.21,307.4,3.9568
447.21,282.6,4.2448
448.22,306.4,4.4934
449.22,308.3,4.8286
450.23,305.4,5.0891
451.23,308.0,5.4571
452.24,308.4,5.716
453.24,309.5,5.983
454.25,298.4,6.2336
455.25,308.3,6.4684
456.26,295.9,6.9415
457.26,260.6,6.9417
458.27,217.8,6.9417
459.27,165.4,6.9421
460.27,123.7,7.0421
461.28,164.2,7.0421
462.28,130.5,7.0421
463.29,142.3,7.0421
464.29,136.3,7.0423
465.3,131.4,7.0423
466.3,145.5,7.0425
467.31,120.4,7.0425
468.31,132.4,7.0425
469.32,114.4,7.0425
470.32,112.4,7.0427
471.33,101.5,7.0427
472.33,143.2,7.0427
473.34,118.4,7.0427
474.34,143.2,7.0427
475.35,105.4,7.0427
476.35,105.6,7.0427
477.36,199.9,7.543
478.36,101.3,7.6323
479.37,106.4,7.6323
480.38,111.4,7.6323
481.38,131.3,7.6323
482.38,136.5,7.6323
483.39,105.4,7.6323
484.4,314.3,7.6329
485.4,188.0,7.6331
486.41,117.4,7.6331
487.41,124.3,7.6331
488.42,142.2,7.6331
489.42,103.4,7.6331
490.43,102.4,7.6331
491.43,105.5,7.6331
492.44,102.5,7.6331
493.44,106.4,7.6331
494.45,100.5,7.6331
495.45,101.5,7.6331
496.46,101.5,7.6331
497.46,102.5,7.6331
498.47,100.5,7.6331
499.48,101.5,7.6331
500.48,104.5,7.6331
501.49,100.5,7.6331
502.49,101.5,7.6331
503.5,102.5,7.6331
504.5,99.5,7.6331
505.51,100.5,7.6331
506.51,102.5,7.6331
507.52,133.3,7.6331
508.52,107.4,7.6332
509.53,100.5,7.6332
510.53,101.5,7.6332
511.54,101.5,7.6332
512.55,100.5,7.6332
513.55,102.5,7.6332
514.56,99.5,7.6332
515.56,100.5,7.6332
516.57,100.5,7.6332
517.57,101.5,7.6332
518.58,99.5,7.6332
519.58,102.5,7.6332
520.59,102.5,7.6332
521.59,100.5,7.6332
522.6,99.5,7.6332
523.6,101.5,7.6332
524.61,99.5,7.6332
525.61,101.5,7.6332
526.62,101.5,7.6332
527.62,101.5,7.6332
528.63,99.5,7.6332
529.64,101.5,7.6332
530.64,100.5,7.6332
531.65,103.5,7.6333
532.65,102.5,7.6333
533.66,100.5,7.6333
534.66,102.5,7.6333
535.67,99.5,7.6333
536.67,100.5,7.6333
537.68,101.5,7.6333
538.68,105.5,7.6333
539.69,101.5,7.6333
540.69,100.5,7.6333
541.7,101.5,7.6333
542.7,99.5,7.6333
543.71,101.5,7.6333
544.71,100.5,7.6333
545.72,101.5,7.6333
546.73,101.5,7.6333
547.73,101.5,7.6333
548.74,103.4,7.6334
549.74,100.5,7.6334
550.75,102.5,7.6334
551.75,102.5,7.6334
552.76,101.5,7.6334
553.76,100.5,7.6334
554.77,106.7,7.6334
555.77,118.4,7.6335
556.78,102.4,7.6335
557.78,103.5,7.6335
558.79,99.5,7.6335
559.79,100.5,7.6335
560.8,102.5,7.6335
561.8,138.3,7.6335
562.81,192.0,7.6424
563.81,101.5,7.6424
564.82,148.2,7.6424
565.82,133.3,7.6424
566.83,101.5,7.6298
567.83,105.4,7.6298
568.84,101.4,7.6298
569.85,102.4,7.6298
570.85,101.5,7.6298
571.86,100.5,7.6298
572.86,99.5,7.6298
573.87,208.9,7.8414
574.87,101.5,7.8414
575.88,111.4,7.8414
576.88,101.4,7.8414
577.89,106.4,7.8414
578.89,99.5,7.8414
579.9,104.4,7.8414
580.9,209.4,7.8433
581.91,1.0,1.6939
582.91,319.3,1.9519
583.92,308.4,2.393
584.92,333.9,2.6117
585.93,358.4,2.8133
586.93,336.4,2.9659
587.94,297.5,3.1266
588.94,296.4,3.3135
589.95,297.4,3.5266
590.95,311.3,3.7559
591.96,306.4,3.9635
592.96,306.3,4.1684
593.97,293.8,4.4425
594.97,307.4,4.7568
595.98,302.4,5.0577
596.98,305.4,5.3888
597.99,309.7,5.6516
598.99,299.6,5.9344
600.0,268.6,6.1814
601.0,205.0,6.4298
602.01,208.3,6.844
603.01,203.0,6.9321
604.02,189.0,6.9332
605.02,180.0,6.9332
606.03,155.2,6.9337
607.03,108.4,6.9337
608.04,126.3,7.0337
609.04,145.3,7.0337
610.05,122.3,7.0339
611.05,115.4,7.0339
612.06,146.2,7.034
613.06,122.4,7.034
614.07,120.6,7.034
615.07,119.4,7.034
616.08,111.4,7.034
617.08,127.3,7.034
618.09,128.3,7.034
619.09,102.5,7.034
620.1,142.2,7.034
621.1,103.5,7.034
622.11,172.4,7.3899
623.11,139.3,7.61
624.12,103.5,7.6203
625.12,108.4,7.6203
626.13,130.3,7.6203
627.13,127.3,7.6203
628.14,117.4,7.6203
629.14,227.3,7.6205
630.15,229.8,7.6207
631.15,113.4,7.6207
632.16,112.4,7.6208
633.16,147.2,7.6209
634.17,103.4,7.6209
635.18,104.4,7.6209
636.18,100.5,7.6209
637.19,102.4,7.6209
638.19,100.5,7.6209
639.2,102.5,7.6209
640.2,99.5,7.6209
641.21,108.5,7.6211
642.21,101.5,7.6211
643.22,100.5,7.6211
644.22,100.5,7.6211
645.23,100.5,7.6211
646.23,102.5,7.6211
647.24,104.4,7.6211
648.24,100.5,7.6211
649.25,114.4,7.6212
650.26,100.5,7.6212
651.26,101.5,7.6212
652.27,101.5,7.6212
653.27,102.5,7.6212
654.28,102.5,7.6212
655.28,101.5,7.6212
656.29,100.5,7.6212
657.29,100.5,7.6212
658.3,99.5,7.6212
659.3,101.5,7.6212
660.31,100.5,7.6212
661.31,101.5,7.6212
662.32,101.7,7.6212
663.32,99.5,7.6212
664.33,101.5,7.6212
665.33,99.5,7.6212
666.34,102.5,7.6212
667.34,100.5,7.6212
668.35,100.5,7.6212
669.35,100.5,7.6212
670.36,100.5,7.6212
671.36,102.5,7.6212
672.37,99.5,7.6212
673.37,101.5,7.6212
674.38,100.5,7.6212
675.38,102.5,7.6212
676.39,100.5,7.6212
677.4,101.5,7.6212
678.4,101.5,7.6212
679.41,100.5,7.6212
680.41,103.5,7.6212
681.42,100.5,7.6212
682.42,99.5,7.6212
683.43,102.5,7.6212
684.43,99.6,7.6212
685.44,100.5,7.6212
686.44,101.6,7.6212
687.44,99.6,7.6212
688.45,100.5,7.6212
689.46,101.5,7.6212
690.46,101.5,7.6212
691.47,101.5,7.6212
692.47,100.5,7.6212
693.48,101.5,7.6212
694.48,100.5,7.6212
695.49,100.5,7.6212
696.49,100.5,7.6212
697.5,127.3,7.6214
698.5,118.4,7.6214
699.51,101.5,7.6214
700.51,100.5,7.6214
701.52,102.5,7.6214
702.52,101.5,7.6214
703.53,131.4,7.6214
704.53,113.4,7.6214
705.54,112.4,7.6214
706.55,103.5,7.6214
707.55,100.5,7.6214
708.56,102.5,7.6214
709.56,105.5,7.6214
710.57,100.5,7.6214
711.57,103.5,7.6214
712.58,104.4,7.6214
713.58,115.4,7.6214
714.59,195.0,7.6334
715.59,211.9,7.8459
716.6,101.5,7.8459
717.6,101.5,7.8342
718.61,104.5,7.8342
719.61,101.5,7.8342
720.62,116.4,7.8342
721.62,102.5,7.8342
722.63,155.5,7.8354
723.63,3.0,1.6841
724.64,324.3,1.9982
725.64,307.4,2.4764
726.65,345.0,2.6283
727.65,346.1,2.8146
728.65,315.2,2.9704
729.66,310.4,3.1257
730.66,310.4,3.3164
731.67,306.4,3.5339
732.67,307.4,3.7657
733.68,305.4,3.9842
734.68,304.3,4.2298
735.69,307.5,4.4738
736.69,303.4,4.8015
737.7,303.4,5.0653
738.7,303.6,5.4343
739.71,310.4,5.6667
740.71,308.3,5.9496
741.72,302.5,6.1993
742.72,301.6,6.4533
743.73,267.4,6.9309
744.74,227.8,6.9309
745.74,168.1,6.9309
746.75,187.0,6.9379
747.75,134.3,7.0309
748.76,149.2,7.0309
749.76,129.5,7.0309
750.77,122.3,7.0309
751.77,123.3,7.0309
752.78,141.2,7.0309
753.78,114.5,7.031
754.79,128.4,7.0312
755.79,104.4,7.0312
756.8,107.5,7.0312
757.8,107.4,7.0312
758.81,104.4,7.0312
759.81,123.3,7.0312
760.82,109.4,7.0312
761.82,103.4,7.0312
762.83,108.4,7.0312
763.83,131.7,7.1645
764.84,180.0,7.6052
765.84,110.4,7.6204
766.85,107.4,7.6204
767.85,103.4,7.6204
768.86,104.4,7.6204
769.86,138.2,7.6204
770.87,215.8,1.5886
771.87,7.0,1.7401
772.88,333.3,2.0545
773.88,308.3,2.3968
774.89,321.0,2.5705
775.89,368.0,2.8048
776.89,329.3,2.9673
777.9,306.3,3.152
778.9,319.3,3.3886
779.91,316.4,3.5884
780.91,306.6,3.7806
781.92,307.3,3.976
782.92,275.8,4.2795
783.93,308.3,4.4903
784.93,309.6,4.8034
785.94,301.4,5.0718
786.94,298.4,5.3836
787.95,309.3,5.6158
788.96,307.3,5.8413
789.96,303.5,6.0919
790.97,308.4,6.2885
791.97,309.0,6.5374
792.97,319.8,6.8845
793.98,292.5,6.8845
794.98,287.4,6.8847
795.99,207.9,6.9437
796.99,136.3,6.9848
798.0,165.4,7.0149
799.0,173.1,7.0848
800.01,185.0,7.0848
801.01,109.4,7.0849
802.02,170.1,7.0851
803.02,151.2,7.0851
804.03,104.4,7.0851
805.04,152.2,7.0851
806.04,108.4,7.0851
807.05,132.3,7.0851
808.05,116.4,7.0851
809.06,134.3,7.0851
810.06,103.4,7.0851
811.07,102.5,7.0851
812.07,153.2,7.0852
813.08,128.6,7.1902
814.08,181.1,7.6153
815.09,101.5,7.6153
816.09,105.4,7.6153
817.1,119.4,7.6153
818.1,113.4,7.6153
819.11,157.3,7.6153
820.11,126.3,7.6154
821.11,290.3,7.6161
822.12,103.5,7.6161
823.13,118.4,7.6162
824.13,155.5,7.6162
825.13,205.9,7.6193
826.14,163.2,7.6372
827.14,102.5,7.6223
828.15,99.5,7.6223
829.15,106.4,7.6223
830.16,106.4,7.6223
831.17,100.5,7.6223
832.17,102.5,7.6144
833.18,101.5,7.6144
834.18,100.5,7.6144
835.19,102.4,7.6144
836.19,99.5,7.6144
837.2,101.5,7.6144
838.2,109.4,7.6145
839.21,100.5,7.6145
840.21,110.4,7.6146
841.22,101.5,7.6146
842.22,101.5,7.6146
843.23,100.5,7.6146
844.24,100.5,7.6146
845.24,99.5,7.6146
846.25,111.4,7.6147
847.25,101.5,7.6147
848.26,100.5,7.6147
849.26,99.5,7.6147
850.27,101.5,7.6147
851.27,100.5,7.6147
852.28,101.5,7.6147
853.28,100.5,7.6147
854.29,100.5,7.6147
855.29,101.5,7.6147
856.3,100.5,7.6147
857.3,100.5,7.6147
858.31,101.5,7.6147
859.32,100.5,7.6147
860.32,101.5,7.6147
861.33,101.5,7.6147
862.33,99.5,7.6147
863.34,102.6,7.6147
864.34,100.5,7.6147
865.34,100.6,7.6147
866.35,100.5,7.6147
867.35,101.5,7.6147
868.36,100.5,7.6147
869.37,99.5,7.6147
870.37,101.5,7.6147
871.38,101.5,7.6147
872.38,100.5,7.6147
873.39,100.5,7.6147
874.39,101.5,7.6148
875.4,101.5,7.6148
876.4,100.5,7.6148
877.41,100.5,7.6148
878.41,102.5,7.6148
879.42,100.5,7.6148
880.42,100.5,7.6148
881.43,102.5,7.6148
882.43,101.5,7.6148
883.44,100.5,7.6148
884.44,101.5,7.6148
885.45,100.5,7.6148
886.46,100.5,7.6148
887.46,103.4,7.6148
888.47,100.5,7.6148
889.47,101.5,7.6148
890.48,99.5,7.6148
891.48,100.5,7.6148
892.49,101.5,7.6148
893.49,100.5,7.6148
