Time_Sec,CPU_Percent,Memory_GB
0.0,0.0,0.0
1.0,184.4,0.1969
2.01,40.9,0.4322
3.01,192.5,0.5916
4.01,271.3,0.8094
5.01,225.6,0.8971
6.02,282.3,1.0307
7.02,286.3,1.1627
8.02,296.2,1.2999
9.02,284.3,1.4347
10.03,238.6,1.5148
11.03,23.9,1.7006
12.03,154.5,1.9049
13.03,257.4,2.0576
14.04,273.2,2.2056
15.04,299.2,2.4334
16.04,29.9,1.8624
17.05,271.2,2.0969
18.05,298.3,2.409
19.05,289.2,2.5386
20.06,285.4,2.7499
21.06,284.0,2.9925
22.06,298.0,3.2342
23.07,294.1,3.4162
24.07,283.4,3.5918
25.07,298.1,3.7385
26.08,299.1,3.9269
27.08,298.1,4.1494
28.08,299.3,4.286
29.08,300.1,4.3796
30.09,297.1,4.5478
31.09,298.2,4.6758
32.09,301.1,4.7893
33.1,298.1,4.8939
34.1,299.4,5.0811
35.1,298.1,5.2409
36.1,299.1,5.3204
37.11,273.4,5.4064
38.11,245.3,5.4976
39.11,199.9,5.6562
40.12,139.6,5.7332
41.12,144.4,5.8201
42.13,161.2,5.8841
43.13,190.4,6.0098
44.13,170.1,6.1333
45.14,131.5,6.2394
46.14,201.3,6.3028
47.14,202.5,6.369
48.15,189.4,6.4142
49.15,215.3,6.4871
50.15,199.5,6.5708
51.16,201.4,6.6248
52.16,214.8,6.6852
53.16,192.5,6.7523
54.17,228.3,7.0219
55.17,113.8,7.0219
56.17,102.7,7.0219
57.18,156.5,7.0219
58.18,106.8,7.0221
59.18,100.6,7.0221
60.18,102.7,7.0225
61.19,101.7,7.0775
62.19,164.6,7.1221
63.19,102.7,7.1221
64.2,96.7,7.1221
65.2,133.7,7.1221
66.2,106.7,7.1221
67.2,100.7,7.1221
68.21,100.7,7.1221
69.21,102.7,7.1224
70.21,98.7,7.1224
71.22,103.5,7.1224
72.22,100.7,7.1224
73.22,100.8,7.1224
74.23,116.7,7.1224
75.23,100.7,7.1224
76.23,101.7,7.1226
77.23,102.8,7.1226
78.24,136.6,7.1226
79.24,100.7,7.1226
80.24,111.8,7.1226
81.24,100.7,7.1226
82.25,99.7,7.1226
83.25,102.8,7.1228
84.25,100.7,7.1228
85.26,99.7,7.1228
86.26,100.8,7.1228
87.26,100.7,7.1229
88.26,100.7,7.1229
89.27,132.7,7.1229
90.27,160.2,7.1229
91.27,191.5,7.1232
92.28,119.4,7.1232
93.28,102.4,7.1232
94.29,103.4,7.1232
95.3,105.4,7.1232
96.3,146.6,7.2659
97.3,144.2,7.4875
98.31,101.4,7.4875
99.31,99.6,7.4875
100.32,101.4,7.4875
101.32,103.5,7.4875
102.33,99.4,7.4875
103.34,101.5,7.4877
104.34,103.4,7.4877
105.35,99.4,7.4877
106.35,116.4,7.4877
107.36,101.4,7.4877
108.36,100.4,7.4877
109.37,101.4,7.4878
110.37,101.4,7.4878
111.38,120.6,7.4884
112.38,139.2,7.5035
113.39,101.5,7.5035
114.39,99.7,7.5035
115.39,100.7,7.5035
116.4,102.4,7.5035
117.41,108.4,7.5035
118.41,100.4,7.5035
119.42,101.5,7.5035
120.42,100.4,7.5035
121.43,100.7,7.5035
122.43,99.5,7.5035
123.44,122.4,7.5035
124.44,100.5,7.5035
125.45,102.4,7.5035
126.45,100.4,7.5035
127.46,143.2,7.5047
128.46,100.4,7.5047
129.47,101.5,7.5047
130.47,100.4,7.5047
131.48,100.5,7.5047
132.48,100.5,7.5047
133.49,103.4,7.5048
134.5,102.5,7.5048
135.5,100.5,7.5048
136.51,101.4,7.5048
137.51,103.7,7.5048
138.52,126.4,7.5048
139.53,102.5,7.5048
140.53,102.5,7.5048
141.54,145.2,7.5049
142.54,101.4,7.5049
143.55,101.4,7.5049
144.56,100.4,7.5049
145.56,100.5,7.5049
146.57,102.4,7.5049
147.57,99.4,7.5049
148.58,101.5,7.5049
149.58,102.5,7.5049
150.59,99.5,7.5049
151.59,100.5,7.5049
152.6,101.4,7.5052
153.6,102.4,7.5054
154.61,100.6,7.5054
155.61,158.2,7.768
156.62,99.4,7.768
157.62,100.4,7.768
158.63,100.4,7.768
159.63,101.4,7.768
160.64,100.4,7.768
161.65,100.4,7.768
162.65,99.4,7.768
163.66,102.5,7.768
164.66,99.5,7.768
165.67,101.4,7.768
166.67,101.4,7.768
167.68,100.4,7.768
168.68,102.4,7.768
169.69,100.4,7.768
170.7,100.4,7.768
