conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method,same_start_class,same_start_method,scenario_jar,scenario_index
0,3,1,3,2,True,True,True,True,/home/miningframework/output/files/retrofit/2b6c719c6645f8e48dca6d0047c752069d321bc4/original-without-dependencies/merge/retrofit-1.2.3-SNAPSHOT.jar,0
1,3,1,3,2,True,True,True,True,/home/miningframework/output/files/retrofit/2b6c719c6645f8e48dca6d0047c752069d321bc4/original-without-dependencies/merge/retrofit-1.2.3-SNAPSHOT.jar,1
2,3,3,3,0,True,True,True,True,/home/miningframework/output/files/SimianArmy/345ad9513aafff397050d613fa87ad06ddffe99d/original-without-dependencies/merge/simianarmy-2.5.0-SNAPSHOT.jar,2
3,7,7,7,0,True,True,True,True,/home/miningframework/output/files/voldemort/4cc1c145819030c8e2baffe4c92383de14b8d880/original-without-dependencies/merge/voldemort-1.9.21.jar,3
4,7,7,7,0,True,True,True,True,/home/miningframework/output/files/voldemort/4cc1c145819030c8e2baffe4c92383de14b8d880/original-without-dependencies/merge/voldemort-1.9.21.jar,4
5,3,2,3,1,True,True,True,True,/home/miningframework/output/files/RxJava/a40a4130edcdadc2340da5787ca30353018173f2/original-without-dependencies/merge/rxjava-1.0.13-SNAPSHOT-benchmarks.jar,5
6,1,1,1,0,True,True,True,True,/home/miningframework/output/files/hector/0588608e7a2bdf974c985ff546207104f672bf6c/original-without-dependencies/merge/hector-core-1.1-3-SNAPSHOT.jar,6
7,1,1,1,0,True,True,True,True,/home/miningframework/output/files/hector/0588608e7a2bdf974c985ff546207104f672bf6c/original-without-dependencies/merge/hector-core-1.1-3-SNAPSHOT.jar,7
8,5,4,5,1,True,True,True,True,/home/miningframework/output/files/titan/387c16ea05ef9fa312f37139228d2bbf61455ff4/original-without-dependencies/merge/titan-core-0.4.1-SNAPSHOT.jar,8
9,8,9,9,1,False,False,True,True,/home/miningframework/output/files/titan/387c16ea05ef9fa312f37139228d2bbf61455ff4/original-without-dependencies/merge/titan-core-0.4.1-SNAPSHOT.jar,8
10,8,9,9,1,False,False,True,True,/home/miningframework/output/files/titan/387c16ea05ef9fa312f37139228d2bbf61455ff4/original-without-dependencies/merge/titan-core-0.4.1-SNAPSHOT.jar,8
