Time_Sec,CPU_Percent_Total,Memory_GB
1.0,217.81,0.1859
2.0,251.68,0.3939
3.01,232.11,0.5532
4.01,307.38,0.7811
5.01,255.98,0.836
6.01,317.43,0.9749
7.01,330.63,1.1115
8.01,340.82,1.1841
9.01,329.47,1.3017
10.02,289.33,1.3954
11.02,229.55,1.4103
12.02,277.41,1.5558
13.02,332.81,1.7288
14.02,320.45,1.9091
15.02,333.29,2.0226
16.03,329.68,2.2455
17.03,345.35,2.3865
18.03,248.04,1.8078
19.03,327.18,2.123
20.03,327.81,2.313
21.03,351.46,2.5252
22.03,323.06,2.843
23.03,337.37,3.0107
24.04,310.13,3.1892
25.04,311.1,3.385
26.04,314.89,3.7241
27.04,310.95,4.0303
28.04,308.29,4.3641
29.04,308.67,4.6713
30.04,302.85,4.923
31.04,308.69,5.1187
32.05,307.12,5.3669
33.05,325.28,5.674
34.05,157.76,6.0993
35.05,115.24,6.5411
36.05,169.34,7.0173
37.05,131.2,7.0173
38.06,109.29,7.0097
39.06,112.88,7.0098
40.06,148.69,7.0115
41.06,100.63,7.0114
42.06,180.79,7.0115
43.06,268.57,7.0126
44.06,109.61,7.0125
45.07,100.87,7.0125
46.07,103.26,7.0125
47.07,105.3,7.0126
48.07,103.21,7.0125
49.07,136.88,7.0126
50.07,106.8,7.0126
51.08,109.8,7.0127
52.08,139.28,7.0128
53.08,197.24,7.0175
54.08,104.19,7.0175
55.08,190.01,7.034
56.08,183.65,7.3243
57.08,101.91,7.3548
58.09,146.8,7.381
59.09,107.17,1.8268
60.09,304.6,2.0068
61.09,324.49,2.1003
62.09,229.52,2.1796
63.09,312.98,2.3107
64.09,274.48,1.9726
65.09,316.76,2.0969
66.1,246.8,1.8357
67.1,305.04,2.0049
68.1,365.75,2.1262
69.1,263.09,1.8454
70.1,296.5,2.0115
71.1,352.37,2.1335
72.1,240.26,1.8964
73.1,334.82,2.0573
74.11,295.33,1.8498
75.11,336.92,2.05
76.11,379.16,2.2579
77.11,272.31,1.9139
78.11,286.68,2.0579
79.11,362.42,2.2251
80.11,275.09,1.9269
81.12,330.74,2.2698
82.12,303.34,2.6531
83.12,290.68,2.7589
84.12,351.63,2.9454
85.12,318.32,3.027
86.12,282.07,3.0905
87.12,298.97,3.1809
88.13,309.44,3.3125
89.13,297.61,3.49
90.13,263.24,3.6291
91.13,309.99,3.7681
92.13,312.5,3.9067
93.13,303.73,4.0709
94.13,306.52,4.2596
95.13,220.0,4.4761
96.14,309.65,4.733
97.14,303.4,5.0297
98.14,238.03,5.2202
99.14,297.36,5.571
100.14,294.49,5.759
101.14,259.92,5.9774
102.14,210.23,6.216
103.15,121.65,6.4063
104.15,156.59,6.6249
105.15,193.34,7.0716
106.15,170.63,7.1026
107.15,215.42,7.1026
108.15,218.36,7.1026
109.15,163.83,7.2028
110.15,126.66,7.2029
111.16,125.17,7.2028
112.16,190.25,7.2028
113.16,183.37,7.2029
114.16,155.56,7.2028
115.16,121.11,7.2028
116.16,105.9,7.2028
117.17,111.86,7.2028
118.17,101.98,7.2029
119.17,102.82,7.2029
120.17,127.33,7.2029
121.17,139.42,7.2029
122.17,130.7,7.203
123.17,107.46,7.2031
124.18,204.07,7.6885
125.18,107.79,7.7883
126.18,102.42,7.7883
127.18,117.97,7.7883
128.18,107.48,7.7883
129.18,131.92,7.7883
130.18,141.62,7.7883
131.19,170.29,7.7883
132.19,285.05,7.7894
133.19,150.47,7.7894
134.19,118.07,7.7895
135.19,104.2,7.7895
136.19,105.52,7.7896
137.19,101.27,7.7896
138.2,229.09,7.9998
139.2,101.13,7.9996
140.2,101.31,7.9996
141.2,100.75,7.9996
142.2,100.84,7.9995
143.2,102.69,7.9996
144.2,100.82,7.9995
145.21,101.18,7.9995
146.21,100.8,7.9995
147.21,100.84,7.9995
148.21,101.31,7.9996
149.21,117.51,7.9996
150.21,181.77,8.073
151.22,100.87,8.0729
152.22,100.81,8.0729
153.22,101.77,8.073
154.22,100.88,8.073
155.22,101.21,8.0731
156.22,101.19,8.0731
157.22,100.82,8.0731
158.23,100.9,8.0731
159.23,101.16,8.0729
160.23,100.84,8.0729
161.23,193.67,8.0737
162.23,100.67,8.0737
163.23,100.99,8.0737
164.24,101.14,8.0736
165.24,100.88,8.0736
166.24,101.09,8.0735
167.24,103.42,8.0737
168.24,100.84,8.0737
169.24,101.44,8.0735
170.24,100.79,8.0735
171.25,101.5,8.0735
172.25,185.73,8.2344
173.25,101.75,8.2344
174.25,101.4,8.2343
175.25,118.43,8.2344
176.25,100.5,8.2344
177.25,101.23,8.2344
178.26,101.75,8.2344
179.26,100.86,8.2345
180.26,104.92,8.2345
181.26,100.71,8.2346
182.26,100.74,8.2344
183.26,257.83,8.6744
184.26,101.44,8.6742
185.27,104.09,8.6741
186.27,126.99,8.6742
187.27,100.76,8.6741
188.27,101.29,8.6741
189.27,100.66,8.6741
190.27,102.59,8.6741
191.28,144.83,8.6741
192.28,100.41,8.6741
193.28,101.21,8.674
194.28,100.82,8.674
195.28,101.2,8.6739
196.28,123.71,8.8071
197.28,100.76,8.8071
198.29,100.91,8.8074
199.29,101.3,8.8074
200.29,100.87,8.8074
201.29,100.69,8.8074
202.29,101.37,8.8073
203.29,101.18,8.8072
204.29,100.81,8.8072
205.29,101.13,8.8074
206.3,100.8,8.8074
207.3,101.2,8.8074
208.3,108.46,8.8075
209.3,104.44,8.8075
210.3,101.82,8.8075
211.3,100.81,8.8075
212.31,100.82,8.8075
213.31,102.12,8.8075
214.31,100.48,8.8075
215.31,101.01,8.8075
216.31,100.68,8.8075
217.31,100.78,8.8075
218.32,103.12,8.808
219.32,100.95,8.8079
220.32,101.21,8.8079
221.32,118.02,8.8081
222.32,100.84,8.8081
223.32,101.53,8.8081
224.32,100.88,8.808
225.32,100.88,8.8081
226.33,100.81,8.808
227.33,101.19,8.808
228.33,100.87,8.808
229.33,104.24,8.8084
230.33,100.83,8.8081
231.33,100.77,8.8081
232.33,101.27,8.808
233.34,101.55,8.8081
234.34,100.79,8.808
235.34,101.28,8.808
236.34,100.79,8.808
237.34,100.8,8.808
238.34,101.48,8.808
239.34,101.92,8.8085
240.35,100.73,8.8085
241.35,101.21,8.8085
242.35,100.78,8.8086
243.35,101.22,8.8085
244.35,101.2,8.8085
245.35,100.76,8.8084
246.35,100.79,8.8084
247.36,101.21,8.8084
248.36,100.89,8.8085
249.36,102.16,8.8086
250.36,100.81,8.8085
251.36,100.81,8.8085
252.36,101.29,8.8085
253.36,100.99,8.8084
254.36,100.57,8.8085
255.37,101.52,8.8085
256.37,100.79,8.8084
257.37,100.82,8.8084
258.37,101.22,8.8085
259.37,101.38,8.8086
260.37,101.66,8.8088
261.37,101.28,8.8087
262.38,100.8,8.8087
263.38,100.99,8.8087
264.38,101.27,8.8086
265.38,100.78,8.8086
266.38,100.8,8.8086
267.38,101.28,8.8086
268.38,100.98,8.8086
269.38,101.14,8.8089
270.39,100.81,8.8089
271.39,102.22,8.8089
272.39,100.74,8.809
273.39,101.64,8.8089
274.39,100.82,8.8089
275.39,100.79,8.8089
276.4,101.18,8.8089
277.4,100.85,8.809
278.4,101.19,8.809
279.4,101.13,8.809
280.4,100.62,8.8089
281.4,101.19,8.8089
282.4,101.76,8.8091
283.41,101.22,8.8089
284.41,101.11,8.8089
285.41,100.81,8.8089
286.41,101.17,8.8088
287.41,100.84,8.8088
288.41,100.8,8.8089
289.41,101.19,8.8089
290.42,100.78,8.8089
291.42,100.58,8.8088
292.42,177.58,8.8089
293.42,102.22,8.8089
294.42,104.06,8.8092
295.42,100.81,8.8092
296.43,100.76,8.8092
297.43,102.04,8.8092
298.43,100.83,8.8092
299.43,100.81,8.809
300.43,101.68,8.8091
301.43,100.8,8.8091
302.43,101.29,8.8091
303.44,100.9,8.809
304.44,101.97,8.8093
305.44,101.18,8.8091
306.44,100.8,8.8091
307.44,100.87,8.8091
308.44,101.16,8.809
309.44,100.85,8.809
310.45,101.2,8.809
311.45,100.78,8.8092
312.45,100.74,8.809
313.45,101.35,8.809
314.45,100.84,8.809
315.45,102.17,8.8094
316.46,100.79,8.8093
317.46,100.88,8.8093
318.46,101.24,8.8093
319.46,100.79,8.8093
320.46,100.8,8.8092
321.46,101.2,8.8092
322.46,100.86,8.8093
323.47,103.06,8.8093
324.47,100.81,8.8092
325.47,100.76,8.8093
326.47,101.19,8.8094
327.47,101.5,8.8095
328.47,101.02,8.8095
329.48,100.57,8.8095
330.48,100.61,8.8094
331.48,101.16,8.8094
332.48,101.01,8.8094
333.48,101.01,8.8094
334.48,103.41,8.8094
335.48,100.87,8.8094
336.49,100.81,8.8095
337.49,101.27,8.8096
338.49,101.6,8.8097
339.49,101.02,8.8096
340.49,101.14,8.8096
341.49,100.81,8.8096
342.49,101.28,8.8098
343.5,100.94,8.8098
344.5,100.79,8.8098
345.5,101.21,8.8098
346.5,100.81,8.8098
347.5,101.05,8.8097
348.5,100.51,8.8097
349.51,100.82,8.8097
350.51,101.63,8.8099
351.51,100.47,8.8099
352.51,100.96,8.8098
353.51,100.63,8.8098
354.51,101.03,8.8098
355.52,100.8,8.8098
356.52,100.54,8.8098
357.52,101.01,8.81
358.52,100.53,8.8097
359.52,100.54,8.8096
360.52,100.91,8.8096
361.53,100.6,8.8096
362.53,102.28,8.81
363.53,101.1,8.81
364.53,100.79,8.81
365.53,101.17,8.81
366.53,100.72,8.81
367.53,101.27,8.81
368.54,100.56,8.8099
369.54,100.67,8.8101
370.54,101.03,8.81
371.54,100.59,8.81
372.54,101.02,8.81
373.54,104.6,8.8101
374.55,100.79,8.81
375.55,101.18,8.81
376.55,100.69,8.81
377.55,101.05,8.81
378.55,100.54,8.81
379.55,100.56,8.8102
380.55,100.96,8.8102
381.55,100.62,8.8102
382.56,100.59,8.8102
383.56,101.13,8.8102
384.56,100.51,8.8102
385.56,102.07,8.8897
386.56,100.84,8.8896
387.57,100.68,8.8898
388.57,100.94,8.8897
389.57,100.55,8.8897
390.57,100.55,8.8897
391.57,100.95,8.8897
392.57,100.61,8.8897
393.57,101.09,8.8895
394.58,100.55,8.8895
395.58,100.56,8.8895
396.58,102.29,8.8898
397.58,100.63,8.8899
398.58,100.99,8.8898
399.58,101.04,8.8899
400.58,100.54,8.8898
401.59,100.97,8.8898
402.59,100.86,8.8898
403.59,100.92,8.8898
404.59,101.28,8.8898
405.59,100.65,8.8898
406.59,100.74,8.8897
407.59,102.5,8.8898
408.6,100.62,8.8898
409.6,101.39,9.011
410.6,100.92,9.011
411.6,100.52,9.011
412.6,101.02,9.0109
413.6,100.89,9.0109
414.61,100.51,9.0108
415.61,100.95,9.0108
416.61,100.55,9.0108
417.61,100.61,9.0108
418.61,100.93,9.0108
419.61,100.53,9.0108
420.61,100.93,9.0108
421.62,101.48,9.0113
422.62,102.52,9.0113
423.62,101.53,9.0112
424.62,100.8,9.0112
425.62,101.2,9.0111
426.62,100.76,9.0111
427.63,100.82,9.0113
428.63,101.08,9.0111
429.63,100.57,9.0113
430.63,100.49,9.0114
431.63,101.0,9.0113
432.63,101.13,9.0114
433.63,100.77,9.0113
434.63,102.41,9.0882
435.64,100.77,9.088
436.64,101.0,9.088
437.64,101.33,9.0879
438.64,100.52,9.0879
439.64,100.86,9.0879
440.64,101.2,9.0879
441.64,100.8,9.0879
442.65,101.3,9.0881
443.65,101.23,9.0881
444.65,100.8,9.088
445.65,100.79,9.088
446.65,104.69,9.0881
447.65,101.09,9.0881
448.65,101.19,9.0881
449.66,100.8,9.088
450.66,100.75,9.088
451.66,101.26,9.088
452.66,101.09,9.0881
453.66,100.76,9.0881
454.66,101.25,9.0881
455.66,100.76,9.0881
456.67,100.77,9.0881
457.67,101.33,9.0881
458.67,100.74,9.0881
459.67,101.92,9.0884
460.67,101.22,9.0883
461.67,100.8,9.0883
462.67,103.33,9.0884
463.67,101.12,9.0883
464.68,100.76,9.0883
465.68,100.75,9.0882
466.68,101.24,9.0883
467.68,101.02,9.0883
468.68,100.75,9.0882
469.68,101.22,9.0882
470.68,100.77,9.0882
471.69,100.8,9.0882
472.69,104.67,9.0884
473.69,100.76,9.0883
474.69,100.88,9.0885
475.69,101.22,9.0885
476.69,100.76,9.0885
477.69,100.82,9.0885
478.69,101.15,9.0885
479.7,101.39,9.0884
480.7,100.86,9.0884
481.7,101.17,9.0884
482.7,101.25,9.0883
483.7,100.86,9.0884
484.7,106.65,9.0905
485.7,101.91,9.0905
486.7,100.81,9.0898
487.71,101.26,9.09
488.71,100.8,9.09
489.71,100.86,9.09
490.71,101.11,9.09
491.71,100.75,9.09
492.71,101.03,9.0899
493.71,100.97,9.0899
494.72,100.5,9.0899
495.72,100.52,9.0899
496.72,100.96,9.0899
497.72,100.88,9.0899
498.72,101.41,9.0902
499.72,101.19,9.0901
500.73,100.78,9.09
501.73,101.19,9.09
502.73,101.41,9.0901
503.73,100.76,9.09
504.73,101.22,9.09
505.73,100.79,9.09
506.73,101.2,9.09
507.74,100.88,9.0899
508.74,100.79,9.0899
509.74,101.19,9.0899
510.74,100.84,9.09
511.74,101.88,9.0903
512.74,101.36,9.0902
513.74,100.76,9.0901
514.75,101.04,9.09
515.75,100.47,9.09
516.75,100.43,9.09
517.75,100.94,9.0901
518.75,100.59,9.0901
519.75,100.55,9.09
520.76,100.89,9.09
521.76,100.51,9.09
522.76,101.25,9.09
523.76,100.7,9.09
524.76,103.9,9.0901
525.76,101.21,9.0901
526.76,100.67,9.0901
527.77,100.69,9.0901
528.77,101.13,9.0902
529.77,100.74,9.0902
530.77,101.1,9.0901
531.77,100.54,9.0901
532.77,101.81,9.0902
533.77,101.63,9.0902
534.78,100.73,9.0902
535.78,100.77,9.0902
536.78,101.18,9.0901
537.78,102.49,9.0903
538.78,103.59,9.0903
539.78,100.86,9.0904
540.78,100.65,9.0904
541.79,101.1,9.0904
542.79,101.59,9.0904
543.79,100.85,9.0904
544.79,101.18,9.0904
545.79,100.71,9.0904
546.79,100.74,9.0904
547.8,101.21,9.0904
548.8,101.2,9.0904
549.8,101.15,9.0904
550.8,102.06,9.0905
551.8,105.17,9.0909
552.8,101.43,9.0909
553.81,100.79,9.0909
554.81,101.19,9.0909
555.81,100.74,9.0908
556.81,100.75,9.0908
557.81,101.15,9.0907
558.81,100.73,9.0907
559.81,101.14,9.0907
560.82,100.69,9.0907
561.82,100.77,9.0907
562.82,101.27,9.0909
563.82,101.45,9.0911
564.82,100.54,9.091
565.82,100.95,9.091
566.82,100.56,9.091
567.83,101.19,9.091
568.83,100.74,9.091
569.83,100.72,9.091
570.83,101.07,9.091
571.83,100.63,9.091
572.83,101.36,9.091
573.84,100.77,9.091
574.84,100.84,9.0911
575.84,101.14,9.091
576.84,101.53,9.0915
577.84,100.71,9.0914
578.84,101.05,9.0913
579.84,100.55,9.0913
580.85,100.48,9.0913
581.85,101.07,9.0913
582.85,101.83,9.0914
583.85,101.14,9.0913
584.85,100.72,9.0913
585.85,100.63,9.0913
586.85,101.16,9.0913
587.86,100.82,9.0914
588.86,100.76,9.0914
589.86,104.42,9.0917
590.86,100.69,9.0915
591.86,101.13,9.0915
592.86,101.11,9.0916
593.87,100.76,9.0916
594.87,101.23,9.0915
595.87,100.69,9.0915
596.87,100.76,9.0916
597.87,101.31,9.0916
598.87,100.67,9.0916
599.87,100.68,9.0916
600.87,101.22,9.0916
601.88,100.74,9.0916
602.88,102.6,9.0917
603.88,101.17,9.0917
604.88,100.71,9.0917
605.88,100.5,9.0917
606.88,101.02,9.0917
607.88,100.9,9.0917
608.89,100.59,9.0917
609.89,101.23,9.0918
610.89,100.79,9.0919
611.89,100.81,9.0918
612.89,101.42,9.0919
613.89,100.56,9.0919
614.89,100.68,9.0919
615.89,101.07,9.0916
616.9,100.79,9.092
617.9,100.58,9.0919
618.9,100.7,9.092
619.9,101.18,9.0919
620.9,100.68,9.092
621.9,101.11,9.0919
622.9,101.05,9.0919
623.91,100.91,9.0919
624.91,101.14,9.0919
625.91,100.69,9.0919
626.91,100.7,9.0918
627.91,101.2,9.0917
628.91,100.74,9.0917
629.91,101.17,9.0917
630.92,101.53,9.0918
631.92,100.76,9.0918
633.25,101.22,9.0918
634.25,100.44,9.0918
635.25,100.99,9.0918
636.26,100.46,9.0917
637.26,100.65,9.0917
638.26,101.01,9.0918
639.26,100.66,9.0918
640.26,100.67,9.0917
641.26,104.33,9.0927
642.26,100.76,9.0927
643.27,102.05,9.0927
644.27,101.95,9.0928
