Time_Sec,CPU_Percent,Memory_GB
0.0,0.0,0.0009
1.0,216.5,0.222
2.01,10.0,0.4609
3.01,253.3,0.6776
4.01,300.0,0.8398
5.02,312.7,0.9463
6.02,335.7,1.061
7.02,324.5,1.2828
8.02,304.6,1.3002
9.03,86.8,1.4784
10.03,206.4,1.6823
11.03,325.0,1.8503
12.04,337.3,2.0652
13.04,349.9,2.2702
14.04,22.9,1.6776
15.05,347.9,1.9435
16.05,312.9,2.2051
17.05,353.2,2.3657
18.06,338.0,2.6801
19.06,339.3,2.8786
20.07,313.3,3.0764
21.07,312.6,3.276
22.07,306.2,3.5063
23.08,308.4,3.8147
24.08,307.4,4.1466
25.09,306.4,4.5599
26.09,303.4,4.8925
27.09,310.2,5.1652
28.1,315.7,5.4909
29.1,168.2,5.806
30.11,123.4,6.1343
31.11,135.3,6.473
32.12,156.2,6.825
33.12,110.4,6.925
34.13,100.5,6.925
35.13,148.2,6.9263
36.14,100.5,6.9263
37.14,188.0,6.9288
38.15,228.8,6.9315
39.15,105.5,6.9316
40.16,104.5,6.9316
41.17,106.5,6.9316
42.17,101.5,6.9316
43.17,117.7,6.9317
44.18,107.5,6.9319
45.18,119.7,6.9319
46.19,131.4,6.9319
47.19,149.2,6.9319
48.2,181.1,6.9324
49.2,182.1,7.2043
50.21,106.5,7.2043
51.21,111.5,7.2043
52.21,133.4,7.2043
53.22,102.5,1.5514
54.22,9.0,1.7785
55.23,291.1,1.8955
56.23,243.8,1.9971
57.24,1544.3,1.6489
58.24,301.0,1.8264
59.24,341.1,1.9528
60.25,5.0,1.8182
61.25,366.0,1.9582
62.25,12.0,1.6611
63.26,289.3,1.8274
64.26,347.5,1.9673
65.26,4.0,1.7861
66.27,331.0,1.9077
67.27,7.0,1.6677
68.28,299.5,1.8437
69.28,368.8,1.9833
70.28,10.0,1.6656
71.29,324.0,1.8357
72.29,345.0,1.9507
73.3,9.0,1.6586
74.3,323.3,1.8938
75.31,307.4,2.2514
76.31,291.0,2.514
77.31,359.1,2.6672
78.32,349.8,2.8512
79.32,320.4,3.0153
80.33,290.5,3.2032
81.33,315.8,3.4748
82.34,311.6,3.7367
83.34,304.4,3.9757
84.35,271.6,4.295
85.35,316.3,4.6497
86.36,298.4,5.0075
87.36,267.6,5.3931
88.37,313.3,5.6917
89.37,309.4,6.0113
90.38,304.4,6.277
91.38,303.1,6.8069
92.39,231.8,6.8599
93.39,216.9,6.8599
94.4,182.0,6.9599
95.4,153.2,6.96
96.41,152.3,6.96
97.41,216.0,7.06
98.42,163.2,7.06
99.42,129.3,7.06
100.43,145.2,7.06
101.43,111.5,7.06
102.44,107.4,7.06
103.44,136.3,7.0604
104.45,123.4,7.0604
105.45,100.6,7.0604
106.46,214.9,7.5964
107.46,114.4,7.5966
108.47,127.4,7.5966
109.47,148.2,7.5966
110.48,145.2,7.5966
111.48,290.5,7.5972
112.49,147.3,7.5972
113.49,118.4,7.5972
114.5,106.4,7.5972
115.5,100.5,7.5972
116.5,181.6,7.5982
117.51,140.3,7.8087
118.52,101.5,7.8087
119.52,101.5,7.8087
120.53,99.5,7.8087
121.53,102.5,7.8087
122.54,101.5,7.8087
123.54,100.5,7.8087
124.55,103.5,7.8087
125.55,114.5,7.8087
126.56,173.1,7.8777
127.56,100.4,7.8777
128.57,100.5,7.8777
129.57,99.5,7.8777
130.58,101.5,7.8777
131.58,102.5,7.8777
132.59,100.5,7.8777
133.59,101.5,7.8777
134.6,100.5,7.8777
135.6,101.5,7.8777
136.61,100.5,7.8777
137.61,169.1,7.8781
138.62,101.5,7.8781
139.62,99.5,7.8781
140.63,100.5,7.8781
141.64,100.5,7.8781
142.64,106.5,7.8781
143.65,99.5,7.8781
144.65,100.5,7.8781
145.66,101.5,7.8781
146.66,100.5,7.8781
147.67,187.0,8.0375
148.67,100.5,8.0375
149.68,100.5,8.0375
150.68,111.4,8.0375
151.69,101.5,8.0375
152.69,100.5,8.0375
153.7,100.5,8.0375
154.7,100.5,8.0375
155.71,104.5,8.0375
156.71,100.5,8.0376
157.72,205.4,8.315
158.72,157.2,8.479
159.73,101.5,8.479
160.73,101.5,8.479
161.74,101.5,8.479
162.74,100.5,8.479
163.75,101.5,8.479
164.75,142.3,8.479
165.76,101.5,8.479
166.76,102.5,8.479
167.77,109.6,8.514
168.77,115.5,8.6096
169.78,100.5,8.6096
170.78,100.5,8.6096
171.79,101.5,8.6096
172.79,101.5,8.6096
173.8,99.5,8.6096
174.8,99.5,8.6096
175.81,102.5,8.6096
176.81,100.5,8.6096
177.82,102.5,8.6098
178.82,100.5,8.6098
179.83,108.5,8.6098
180.83,101.5,8.6098
181.84,102.5,8.6098
182.84,100.5,8.6098
183.85,101.5,8.6098
184.85,100.5,8.6098
185.86,101.5,8.6098
186.86,100.5,8.6098
187.87,102.5,8.6104
188.87,100.5,8.6104
189.88,100.5,8.6104
190.88,116.4,8.6104
191.89,100.5,8.6104
