Time_Sec,CPU_Percent_Total,Memory_GB
1.0,51.87,0.3269
2.0,62.38,0.5329
3.01,58.75,0.6954
4.01,79.89,0.9316
5.01,64.52,0.9882
6.01,80.65,1.0617
7.01,82.73,1.1743
8.01,84.95,1.3089
9.01,79.19,1.4287
10.02,79.2,1.5335
11.02,26.3,1.5601
12.02,73.62,1.7107
13.02,84.84,1.9006
14.02,82.75,2.1659
15.02,86.75,2.2982
16.02,87.69,2.4701
17.03,82.43,2.6717
18.03,81.64,2.9623
19.03,82.18,3.2693
20.03,79.66,3.5072
21.03,77.7,3.8792
22.03,76.59,4.193
23.03,76.87,4.5169
24.04,76.69,4.8687
25.04,77.08,5.2881
26.04,76.85,5.6919
27.04,78.92,5.9652
28.04,77.18,6.2418
29.04,57.91,1.8695
30.04,81.32,2.1575
31.05,87.27,2.302
32.05,86.69,2.515
33.05,79.41,2.8675
34.05,81.58,3.2627
35.05,78.4,3.5122
36.05,77.94,3.8455
37.05,76.61,4.0887
38.06,77.01,4.3742
39.06,76.31,4.6469
40.06,77.72,4.9159
41.06,76.65,5.2533
42.06,77.13,5.6459
43.06,78.36,5.9363
44.06,76.38,6.2021
45.07,66.77,3.1643
46.07,70.19,2.0662
47.07,82.84,1.8405
48.07,77.27,2.0816
49.07,78.04,2.1836
50.07,65.25,1.9288
51.07,84.7,2.24
52.08,87.03,2.3564
53.08,84.94,2.5354
54.08,79.59,2.002
55.08,74.05,2.0602
56.08,86.13,2.2448
57.08,73.16,1.939
58.08,83.27,2.1341
59.09,87.34,2.4363
60.09,59.3,1.9608
61.09,87.45,2.1484
62.09,73.05,1.9843
63.09,86.72,2.1662
64.09,74.27,1.998
65.09,74.68,2.1621
66.09,88.3,2.2824
67.1,65.34,2.1283
68.1,78.0,2.273
69.1,66.42,2.0826
70.1,83.17,2.2815
71.1,92.91,2.4624
72.1,67.14,2.1943
73.1,81.52,2.3335
74.1,88.85,2.5853
75.11,63.48,2.082
76.11,77.95,2.2597
77.11,90.07,2.4025
78.11,82.16,2.6264
79.11,58.88,2.1393
80.11,83.91,2.27
81.11,91.46,2.4468
82.12,77.34,2.0086
83.12,73.0,2.2349
84.12,83.05,2.3492
85.12,86.82,2.6052
86.12,71.11,2.2137
87.12,89.03,2.3716
88.13,69.38,2.1374
89.13,77.39,2.2737
90.13,81.2,2.0479
91.13,75.27,2.2296
92.13,82.89,2.3615
93.13,64.96,2.1016
94.13,86.4,2.3844
95.13,89.62,2.4813
96.14,86.73,2.61
97.14,73.9,2.0507
98.14,78.2,2.2578
99.14,85.23,2.441
100.14,90.27,2.6186
101.14,80.04,2.213
102.14,68.55,2.2141
103.15,82.63,2.4536
104.15,93.41,2.5832
105.15,85.91,2.7621
106.15,79.62,2.9566
107.15,77.48,3.1551
108.15,67.23,2.0589
109.15,78.78,2.2959
110.15,87.97,2.4204
111.16,67.63,2.1387
112.16,79.83,2.3234
113.16,73.07,2.0734
114.16,81.51,2.2584
115.16,77.58,2.0762
116.16,81.78,2.2778
117.16,74.52,2.0764
118.16,83.31,2.2583
119.17,74.9,2.0937
120.17,85.82,2.2968
121.17,73.66,2.1073
122.17,83.55,2.2797
123.17,74.81,2.1863
124.17,72.72,2.068
125.17,80.56,2.3642
126.17,85.36,2.5561
127.18,82.27,2.0058
128.18,75.79,2.2998
129.18,87.82,2.471
130.18,82.7,2.7903
131.18,83.44,2.2751
132.18,68.01,2.2337
133.18,80.22,2.4459
134.19,90.71,2.6471
135.19,82.24,2.8856
136.19,80.38,3.1656
137.19,78.39,3.4741
138.19,76.98,3.8426
139.19,75.73,4.2
140.19,76.79,4.5202
141.2,76.5,4.9015
142.2,76.88,5.2411
143.2,77.2,5.5564
144.2,75.97,5.8367
145.2,60.26,6.1411
146.2,55.16,6.4232
147.21,51.55,6.8344
148.21,62.22,7.1576
149.21,58.3,7.1727
150.21,53.75,7.2732
151.21,78.72,7.2742
152.21,64.75,7.2742
153.21,79.2,7.2746
154.22,71.19,6.0398
155.22,56.97,2.1871
156.22,76.55,2.315
157.22,68.28,2.2123
158.22,83.61,2.0694
159.22,70.97,2.287
160.22,81.0,2.4268
161.23,89.29,2.5932
162.23,85.4,2.8155
163.23,79.49,3.0057
164.23,78.72,3.2413
165.23,60.69,2.062
166.23,72.7,2.2575
167.23,75.09,2.4869
168.24,86.41,2.6379
169.24,87.61,2.8765
170.24,84.98,3.096
171.24,79.56,3.2968
172.24,78.97,3.5039
173.24,76.9,3.7121
174.24,77.74,3.9458
175.25,76.2,4.1643
176.25,75.72,4.3672
177.25,77.21,4.5716
178.25,78.09,4.7609
179.25,75.77,4.9018
180.25,55.86,2.0805
181.26,78.96,2.3778
182.26,87.13,2.5772
183.26,90.23,2.8437
184.26,88.17,3.114
185.26,80.66,3.3552
186.26,77.52,3.5407
187.26,77.77,3.7385
188.27,77.1,3.969
189.27,77.04,4.2256
190.27,76.93,4.4638
191.27,80.12,4.6629
192.27,78.71,4.8927
193.27,53.79,5.234
194.27,55.16,5.5412
195.28,38.22,5.864
196.28,38.52,2.0857
197.28,76.92,2.279
198.28,90.45,2.5037
199.28,64.56,2.1251
200.28,76.78,2.2866
201.28,87.95,2.4813
202.29,63.85,2.1116
203.29,84.73,2.3768
204.29,78.74,2.6153
205.29,87.97,2.784
206.29,85.43,2.9647
207.29,85.48,3.1766
208.29,83.78,3.4122
209.29,66.39,2.2575
210.3,84.09,2.4041
211.3,84.64,2.7055
212.3,84.2,2.95
213.3,56.49,2.1049
214.3,72.75,2.2772
215.3,85.5,2.4601
216.3,70.43,2.1086
217.31,83.81,2.3019
218.31,90.82,2.5269
219.31,70.44,2.2573
220.31,79.41,2.3796
221.31,87.98,2.5559
222.31,69.52,2.2564
223.31,71.97,2.3643
224.32,88.78,2.5599
225.32,68.28,2.2381
226.32,77.13,2.3465
227.32,87.5,2.5959
228.32,69.52,2.1998
229.32,82.65,2.3758
230.32,89.36,2.5653
231.33,66.01,2.1537
232.33,85.05,2.3451
233.33,82.47,2.0879
234.33,74.33,2.312
235.33,84.64,2.4484
