Time_Sec,CPU_Percent,Memory_GB
0.0,0.0,0.0009
1.0,222.5,0.2149
2.01,28.9,0.4603
3.01,259.4,0.6529
4.01,312.8,0.8275
5.02,294.0,0.9475
6.02,336.0,1.018
7.02,340.7,1.1148
8.03,311.2,1.2608
9.03,304.9,1.3244
10.03,171.5,1.4658
11.04,349.3,1.585
12.04,36.8,1.8459
13.04,325.0,1.9624
14.05,323.7,2.2055
15.05,26.9,1.6342
16.06,284.6,1.8636
17.06,324.8,2.1695
18.06,343.9,2.3111
19.07,347.6,2.5631
20.07,325.0,2.8552
21.07,313.7,3.0955
22.08,308.8,3.3211
23.08,304.8,3.4967
24.09,306.4,3.6569
25.09,304.3,3.8557
26.1,308.3,4.103
27.1,302.5,4.2173
28.11,303.0,4.4048
29.11,303.4,4.5333
30.12,300.4,4.6647
31.12,285.9,4.8012
32.13,199.0,5.0032
33.13,141.2,5.117
34.14,142.2,5.2104
35.14,108.5,5.3025
36.15,175.1,5.4672
37.15,121.4,5.5469
38.16,108.4,5.648
39.16,126.3,5.716
40.17,182.4,5.8426
41.17,145.3,5.9697
42.18,157.3,6.1057
43.18,109.4,6.1978
44.19,102.7,6.259
45.19,102.5,6.3265
46.2,108.4,6.418
47.2,130.3,6.4917
48.21,102.5,6.5523
49.21,181.2,6.8444
50.22,106.5,6.8964
51.22,103.5,6.8964
52.23,157.2,6.8964
53.23,150.2,6.8964
54.24,107.4,6.8964
55.24,100.5,6.8964
56.25,102.5,6.8964
57.25,102.5,6.8964
58.26,121.4,6.9539
59.26,104.5,6.9964
60.27,127.3,6.9964
61.27,111.4,6.9964
62.28,104.5,6.9964
63.28,109.4,6.9964
64.29,117.4,6.9964
65.29,102.5,6.9964
66.3,102.5,6.9966
67.3,110.4,6.9966
68.31,105.4,6.9967
69.31,121.5,6.9967
70.32,103.5,6.9969
71.32,105.4,6.9969
72.33,101.5,6.9969
73.34,157.2,6.9969
74.34,101.5,6.9969
75.35,168.1,6.997
76.35,100.5,6.997
77.36,102.5,6.997
78.36,100.5,6.997
79.37,104.5,6.997
80.37,103.6,6.997
81.38,109.4,6.997
82.38,133.3,6.997
83.39,154.2,6.997
84.39,310.3,7.0003
85.4,169.2,7.0004
86.4,124.4,7.0004
87.4,135.6,7.086
88.41,149.3,7.314
89.41,102.5,7.314
90.42,104.5,7.314
91.42,103.5,7.314
92.43,103.5,7.314
93.43,99.5,7.314
94.44,119.4,7.314
95.44,103.5,7.314
96.45,101.5,7.314
97.45,151.2,7.3288
98.46,107.5,7.3288
99.47,104.5,7.3288
100.47,100.5,7.3288
101.48,114.4,7.3288
102.48,101.6,7.3288
103.48,102.5,7.3288
104.49,100.5,7.3288
105.49,102.5,7.3288
106.5,179.1,7.3294
107.51,101.5,7.3294
108.51,99.5,7.3294
109.52,102.5,7.3294
110.52,100.5,7.3294
111.53,100.5,7.3294
112.53,102.5,7.3294
113.54,101.5,7.3294
114.54,113.6,7.3295
115.54,146.3,7.3308
116.55,102.5,7.3308
117.55,99.5,7.3308
118.56,101.5,7.3308
119.57,99.5,7.3308
120.57,101.5,7.3308
121.58,101.5,7.3308
122.58,99.5,7.3308
123.59,159.2,7.5931
124.59,103.5,7.5931
125.6,101.5,7.5931
126.6,99.5,7.5931
127.61,100.5,7.5931
128.61,101.5,7.5931
129.62,100.5,7.5931
130.62,99.6,7.5931
131.63,103.5,7.5931
132.63,100.5,8.0221
133.63,161.5,8.3449
134.64,145.3,8.457
135.64,100.5,8.457
136.65,100.5,8.457
137.66,101.5,8.457
138.66,101.5,8.457
139.67,101.5,8.457
140.67,101.5,8.457
141.68,100.5,8.457
142.68,101.5,8.457
143.69,101.5,8.457
144.69,100.5,8.4573
145.7,100.5,8.4573
146.7,101.5,8.4573
147.71,99.5,8.4573
148.71,105.5,8.4573
149.72,101.5,8.4573
150.72,100.5,8.4573
151.73,99.6,8.4573
152.73,102.5,8.4573
153.74,99.5,8.4573
154.74,99.5,8.4573
155.75,102.5,8.4573
156.75,100.5,8.4573
157.76,99.5,8.4573
158.76,102.5,8.4573
159.77,100.5,8.4573
160.77,117.4,8.4574
161.78,102.6,8.4574
162.78,102.5,8.4574
163.79,100.5,8.4574
164.79,135.3,8.4574
165.8,99.6,8.4574
166.8,101.5,8.4574
167.81,100.5,8.4574
168.81,100.5,8.4574
169.82,101.5,8.4574
170.82,100.6,8.4574
171.82,107.5,8.4574
172.83,102.5,8.4574
173.83,101.5,8.4574
174.84,99.5,8.4574
175.84,99.5,8.4574
176.85,102.5,8.4574
177.85,100.5,8.4574
178.86,102.5,8.4575
179.87,101.5,8.4575
180.87,101.5,8.4575
181.88,101.5,8.4575
182.88,105.5,8.4575
183.89,100.5,8.4575
184.89,102.5,8.4575
185.9,99.5,8.4575
186.9,101.5,8.4575
187.91,101.5,8.4575
188.91,100.5,8.4575
189.92,100.5,8.4575
190.92,101.5,8.4575
191.93,100.5,8.4575
192.93,100.5,8.4575
193.94,101.5,8.4575
194.94,99.5,8.4575
195.95,102.5,8.4575
196.95,99.5,8.4575
197.96,102.5,8.4575
198.96,100.5,8.4575
199.97,101.5,8.4575
200.97,99.5,8.4575
201.98,101.5,8.4575
202.98,101.5,8.4575
203.99,100.5,8.4575
204.99,98.5,8.4575
206.0,102.5,8.4575
