conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method,same_start_class,same_start_method,scenario_jar,scenario_index
0,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/hbnpojogen/16f458ccc0b3675ec72a298481794ed4afd70666/original-without-dependencies/merge/hbnpojogen-core-1.4.32-jar-with-dependencies.jar,0
1,2,3,3,1,True,True,True,True,/home/oav2/miningframework/output/files/hprof-parser/3668fd734f79c2b949f0703654dfda812c800707/original-without-dependencies/merge/hprof-parser-1.0-SNAPSHOT.jar,1
2,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/helpscout-api-java/7dde5bbe5d07ba446e8d8b7b942d378b40f2b5c3/original-without-dependencies/merge/helpscout-api-1.0.jar,2
3,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/helpscout-api-java/7dde5bbe5d07ba446e8d8b7b942d378b40f2b5c3/original-without-dependencies/merge/helpscout-api-1.0.jar,2
4,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/helpscout-api-java/7dde5bbe5d07ba446e8d8b7b942d378b40f2b5c3/original-without-dependencies/merge/helpscout-api-1.0.jar,3
5,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/ldp-testsuite/a7515238ae8139c8d6b2ee7e042183294ca3869f/original-without-dependencies/merge/ldp-testsuite-1.0.0-SNAPSHOT.jar,4
6,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/ldp-testsuite/a7515238ae8139c8d6b2ee7e042183294ca3869f/original-without-dependencies/merge/ldp-testsuite-1.0.0-SNAPSHOT.jar,4
7,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/ldp-testsuite/a7515238ae8139c8d6b2ee7e042183294ca3869f/original-without-dependencies/merge/ldp-testsuite-1.0.0-SNAPSHOT.jar,4
8,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/ldp-testsuite/a7515238ae8139c8d6b2ee7e042183294ca3869f/original-without-dependencies/merge/ldp-testsuite-1.0.0-SNAPSHOT.jar,4
9,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/ldp-testsuite/a7515238ae8139c8d6b2ee7e042183294ca3869f/original-without-dependencies/merge/ldp-testsuite-1.0.0-SNAPSHOT.jar,4
