Time_Sec,CPU_Percent,Memory_GB
0.0,0.0,0.0009
1.0,220.4,0.22
2.01,15.0,0.4691
3.01,273.0,0.7002
4.01,287.2,0.841
5.02,328.9,0.9438
6.02,342.2,1.0867
7.02,320.6,1.2454
8.03,318.1,1.3592
9.03,79.8,1.5429
10.03,192.5,1.7471
11.03,299.1,1.9016
12.04,343.0,2.1387
13.04,351.3,2.3208
14.04,30.9,1.7997
15.05,324.0,2.1579
16.05,329.1,2.2927
17.05,355.9,2.6502
18.06,346.3,2.9756
19.06,317.4,3.2037
20.07,309.4,3.4219
21.07,309.1,3.7786
22.08,308.5,4.169
23.08,309.5,4.5788
24.09,308.4,4.9059
25.09,307.4,5.1709
26.1,319.5,5.5477
27.1,272.2,5.8622
28.1,267.7,6.069
29.11,312.2,6.3028
30.11,326.2,6.9038
31.11,230.9,6.9761
32.12,125.4,6.9761
33.12,125.4,6.9761
34.13,9.0,1.7084
35.13,330.4,1.9208
36.13,285.6,2.0552
37.13,9.0,1.7501
38.14,357.1,1.983
39.14,18.0,1.7517
40.14,348.2,1.9819
41.14,5.0,1.8031
42.15,335.1,1.9563
43.15,7.0,1.7348
44.15,356.3,1.9579
45.15,7.0,1.846
46.16,349.0,2.0474
47.16,8.0,1.814
48.16,340.1,2.0162
49.17,8.0,1.8985
50.17,322.4,2.3682
51.18,341.1,2.6591
52.18,354.3,2.9203
53.18,322.6,3.1276
54.19,324.3,3.4141
55.19,301.7,3.6769
56.2,307.4,3.9235
57.2,288.7,4.1893
58.21,302.6,4.5045
59.21,306.4,4.8647
60.22,303.5,5.1861
61.22,312.4,5.5644
62.23,307.6,5.8513
63.23,306.5,6.1574
64.24,303.4,6.425
65.24,324.0,6.9443
66.25,312.4,7.0139
67.25,300.4,7.0145
68.26,259.8,7.0153
69.26,213.9,7.0153
70.27,143.3,7.0157
71.27,201.0,7.0157
72.28,243.9,7.0157
73.28,178.1,7.0157
74.29,141.3,7.0159
75.29,118.4,7.0159
76.3,146.3,7.016
77.3,113.4,7.016
