conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method
0,4,4,4,0,True,True
1,4,4,4,0,True,True
2,4,4,4,0,True,True
3,4,4,4,0,True,True
4,4,4,4,0,True,True
5,4,4,4,0,True,True
6,4,4,4,0,True,True
7,4,4,4,0,True,True
8,4,4,4,0,True,True
9,4,4,4,0,True,True
10,4,4,4,0,True,True
11,4,4,4,0,True,True
12,5,5,5,0,True,True
13,4,4,4,0,True,True
14,4,4,4,0,True,True
15,4,4,4,0,True,True
16,4,4,4,0,True,True
17,4,4,4,0,True,True
18,4,4,4,0,True,True
19,4,4,4,0,True,True
20,4,4,4,0,True,True
21,4,4,4,0,True,True
22,4,4,4,0,True,True
23,4,4,4,0,True,True
24,4,4,4,0,True,True
25,4,4,4,0,True,True
26,4,4,4,0,True,True
27,4,4,4,0,True,True
28,4,4,4,0,True,True
29,4,4,4,0,True,True
30,4,4,4,0,True,True
31,4,4,4,0,True,True
32,4,4,4,0,True,True
33,4,4,4,0,True,True
34,4,4,4,0,True,True
35,4,4,4,0,True,True
36,4,4,4,0,True,True
37,4,4,4,0,True,True
38,4,4,4,0,True,True
39,4,4,4,0,True,True
40,4,4,4,0,True,True
41,4,4,4,0,True,True
42,4,4,4,0,True,True
43,4,4,4,0,True,True
44,4,4,4,0,True,True
45,4,4,4,0,True,True
46,4,4,4,0,True,True
47,4,4,4,0,True,True
48,4,4,4,0,True,True
49,4,4,4,0,True,True
50,4,4,4,0,True,True
51,4,4,4,0,True,True
52,4,4,4,0,True,True
53,4,4,4,0,True,True
54,4,4,4,0,True,True
55,4,4,4,0,True,True
56,4,4,4,0,True,True
57,4,4,4,0,True,True
58,4,4,4,0,True,True
59,4,4,4,0,True,True
60,4,4,4,0,True,True
61,4,4,4,0,True,True
62,4,4,4,0,True,True
63,4,4,4,0,True,True
64,4,4,4,0,True,True
65,4,4,4,0,True,True
66,4,4,4,0,True,True
67,4,4,4,0,True,True
68,4,4,4,0,True,True
69,4,4,4,0,True,True
70,4,4,4,0,True,True
71,4,4,4,0,True,True
72,4,4,4,0,True,True
73,4,4,4,0,True,True
74,4,4,4,0,True,True
75,4,4,4,0,True,True
76,4,4,4,0,True,True
77,4,4,4,0,True,True
78,4,4,4,0,True,True
79,4,4,4,0,True,True
80,4,4,4,0,True,True
81,4,4,4,0,True,True
82,4,4,4,0,True,True
83,4,4,4,0,True,True
84,4,4,4,0,True,True
85,4,4,4,0,True,True
86,4,4,4,0,True,True
87,4,4,4,0,True,True
88,4,4,4,0,True,True
89,4,4,4,0,True,True
90,4,4,4,0,True,True
91,4,4,4,0,True,True
92,4,4,4,0,True,True
93,4,4,4,0,True,True
94,4,4,4,0,True,True
95,4,4,4,0,True,True
96,4,4,4,0,True,True
97,4,4,4,0,True,True
98,4,4,4,0,True,True
99,4,4,4,0,True,True
100,4,4,4,0,True,True
101,4,4,4,0,True,True
102,4,4,4,0,True,True
103,4,4,4,0,True,True
104,4,4,4,0,True,True
105,4,4,4,0,True,True
106,4,4,4,0,True,True
107,4,4,4,0,True,True
108,4,4,4,0,True,True
109,4,4,4,0,True,True
110,4,4,4,0,True,True
111,4,4,4,0,True,True
112,4,4,4,0,True,True
113,4,4,4,0,True,True
114,4,4,4,0,True,True
115,4,4,4,0,True,True
116,4,4,4,0,True,True
117,4,4,4,0,True,True
118,4,4,4,0,True,True
119,4,4,4,0,True,True
120,4,4,4,0,True,True
121,4,4,4,0,True,True
122,4,4,4,0,True,True
